Harmless Permission: INSTALL_SHORTCUT,Dangerous Permission: RECEIVE_BOOT_COMPLETED,class
0,0,1
0,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,1
0,0,1
0,1,0
0,0,0
0,0,0
0,0,1
0,1,0
0,1,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1,1,1
0,0,0
0,0,0
1,1,0
1,1,0
0,0,1
0,0,1
0,0,0
0,0,1
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,1
1,1,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,1
1,1,0
1,1,0
0,0,0
1,0,1
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,1
1,1,0
0,0,1
0,0,0
1,1,1
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,1
0,1,0
0,0,0
0,0,0
0,0,1
1,1,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
1,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,1
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
1,1,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,1
1,1,0
1,1,1
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
0,0,1
0,0,1
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
1,1,0
0,0,1
0,0,0
0,0,1
0,1,0
1,1,0
0,1,0
0,1,0
0,1,0
1,1,0
1,1,0
0,0,0
0,0,1
0,0,1
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
1,0,0
0,0,1
1,1,1
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,1
0,0,1
1,1,0
1,1,0
0,0,0
0,0,1
0,0,0
1,0,0
0,0,0
1,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
1,0,0
1,1,1
1,1,1
0,1,0
0,1,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
1,0,0
1,1,0
0,0,0
0,1,1
1,1,0
0,0,0
0,1,0
0,1,1
1,1,0
1,1,0
0,1,0
1,1,1
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
0,1,0
0,1,1
0,1,1
1,1,0
0,0,1
0,0,0
0,0,0
0,0,0
1,1,1
1,1,0
0,0,0
0,0,0
1,1,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
0,1,1
0,1,0
1,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,1
1,1,0
1,1,1
0,0,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
0,1,0
0,1,0
0,0,0
0,0,0
1,1,1
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,1
1,1,0
0,0,0
0,0,0
0,0,0
0,1,0
1,0,0
0,0,0
0,0,1
1,1,0
1,0,0
1,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,1,0
0,0,1
1,1,1
1,1,0
0,0,0
0,0,1
0,1,0
0,1,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,1
0,1,0
0,1,0
0,0,0
0,0,0
0,1,0
0,1,1
0,1,0
0,1,1
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,1
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
0,0,0
0,0,0
0,1,1
0,1,0
0,0,0
0,1,1
0,0,0
0,1,0
1,1,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
1,1,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
1,1,0
0,0,0
0,0,1
1,1,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
1,1,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,1
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
1,1,1
0,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,0,0
1,1,1
1,1,1
0,0,0
0,0,1
0,0,1
0,1,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
1,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,1
0,0,1
0,0,0
0,0,0
1,1,0
0,0,0
0,1,0
1,1,0
0,1,0
1,1,1
1,1,1
0,1,1
1,1,1
1,1,1
1,1,1
1,1,0
1,1,1
1,1,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
1,1,0
1,1,0
0,0,0
1,1,0
1,1,1
0,0,0
0,1,1
0,0,1
0,1,0
0,1,1
0,0,0
0,0,1
0,0,0
0,1,1
1,0,1
0,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
1,1,0
1,1,0
0,1,1
0,1,0
1,1,1
1,1,0
0,0,1
1,1,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,1
1,1,0
1,1,0
1,1,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,1
0,0,0
1,0,0
0,0,1
0,0,0
0,0,0
1,0,0
1,0,1
1,0,0
0,0,0
0,0,1
0,1,1
1,1,0
0,0,0
0,0,0
1,1,0
0,0,1
1,0,1
1,1,0
0,0,1
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
1,1,0
1,1,0
1,1,1
1,1,1
0,0,1
0,0,0
0,0,1
1,1,1
1,1,0
1,1,1
1,1,0
1,0,0
1,1,1
1,1,0
0,1,0
1,1,1
0,1,1
1,1,0
1,1,1
1,1,1
1,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,0
0,0,1
1,1,1
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
0,1,0
0,0,1
1,1,0
1,1,0
1,0,1
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,1
1,1,0
1,1,0
0,0,1
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,1,0
0,0,0
0,1,0
0,1,1
1,1,0
0,1,1
0,1,1
0,0,0
1,1,1
1,1,1
0,0,0
1,0,0
1,0,0
1,0,1
1,1,1
0,0,1
1,1,0
1,1,1
0,0,0
0,0,1
1,1,1
0,0,0
0,0,1
0,0,1
1,0,0
1,0,0
1,1,1
0,0,0
0,0,0
1,1,0
0,0,0
0,0,1
1,1,0
1,1,1
0,0,1
0,0,1
1,1,1
1,1,0
1,1,1
0,0,0
0,0,1
0,0,0
1,1,0
1,1,1
1,1,0
1,1,0
1,1,1
1,1,0
1,1,1
1,1,0
0,0,0
0,1,0
0,1,0
0,0,1
1,1,1
0,0,0
0,0,1
1,1,1
0,0,1
0,0,0
0,0,0
1,1,0
1,1,0
0,1,1
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,1
1,1,0
0,1,1
0,1,0
0,1,1
0,0,1
0,0,1
1,1,0
1,1,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,1
1,1,0
1,1,1
0,0,0
0,0,1
1,0,0
1,0,0
1,1,0
1,1,0
0,1,1
0,1,1
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,1
1,1,1
1,1,1
0,0,1
0,0,0
0,0,0
0,0,0
1,1,0
0,1,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1,1,0
0,0,1
1,1,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,1,1
1,1,0
0,0,0
1,1,0
1,1,1
0,1,0
1,0,0
0,0,1
0,0,0
0,0,0
1,1,0
1,1,1
0,0,1
1,0,0
1,1,0
0,0,0
0,0,1
0,0,0
1,1,0
1,1,0
1,1,0
1,1,1
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
0,0,0
1,1,0
0,0,0
0,0,1
0,0,1
1,1,0
1,1,0
0,0,0
1,0,0
1,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,1
1,0,1
0,0,0
0,0,0
0,1,0
1,1,0
1,1,0
1,1,1
1,1,1
1,1,1
1,0,1
0,0,0
0,0,0
0,0,0
1,1,1
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
0,1,1
0,1,1
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,1
1,1,1
0,1,0
0,1,1
0,1,0
0,0,1
1,1,1
1,1,1
1,1,0
0,0,0
0,0,1
1,0,0
1,1,1
1,1,0
0,0,1
1,1,0
1,0,1
1,1,0
1,1,1
0,1,0
0,0,0
0,1,0
0,1,0
1,1,1
0,0,1
1,1,0
1,1,1
1,0,1
1,0,1
0,1,0
1,1,1
1,1,0
0,0,1
1,1,0
0,0,1
1,1,0
1,1,1
0,0,0
0,0,0
1,0,1
1,0,1
0,1,0
1,1,0
1,1,0
1,1,1
1,1,1
0,0,1
0,0,0
1,1,1
1,1,1
0,0,0
0,0,0
0,0,0
1,1,0
0,1,1
0,1,1
1,1,0
1,1,1
1,1,1
1,0,0
1,0,0
1,1,1
1,1,1
0,1,1
0,1,1
1,1,1
1,1,1
0,0,1
0,0,1
0,0,0
1,1,1
1,1,1
1,1,1
1,1,0
1,1,0
1,1,0
0,1,1
0,1,1
1,0,1
1,1,1
1,1,0
1,0,1
1,1,1
0,0,1
1,1,1
0,1,0
0,1,1
0,1,1
0,1,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1,1,1
0,1,1
0,0,0
0,0,1
0,0,0
0,0,1
1,1,1
0,0,0
0,0,0
1,1,1
1,1,0
0,1,1
0,0,0
0,0,0
1,1,0
1,0,0
1,1,1
1,1,1
1,1,0
1,1,0
0,0,1
0,0,1
1,1,0
1,1,1
1,1,0
1,1,1
0,0,0
0,1,1
1,1,0
1,1,0
1,1,1
1,1,1
0,0,0
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,0,1
1,1,0
0,1,0
1,0,1
1,0,1
1,0,1
1,1,1
1,1,1
0,0,1
1,1,1
0,0,1
0,0,0
1,1,1
1,1,1
1,1,1
1,1,0
1,0,0
0,0,0
0,0,0
1,1,1
1,1,1
1,1,1
1,1,0
1,1,1
1,1,0
1,1,1
1,1,1
1,1,1
1,1,1
0,0,0
0,0,1
0,0,0
1,1,0
1,1,1
1,1,1
0,0,0
0,0,0
0,0,1
1,0,1
1,1,1
1,1,1
1,1,0
1,1,0
0,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,1
1,1,1
1,1,0
0,0,0
1,1,0
1,1,1
1,1,0
1,1,1
0,0,0
0,0,1
1,1,0
1,1,1
0,1,0
0,0,1
1,1,1
1,1,0
0,0,1
0,0,0
0,0,0
1,1,1
0,0,0
0,0,1
1,1,0
1,1,1
1,0,1
1,0,1
1,1,1
0,0,0
0,0,0
1,1,0
1,1,0
1,1,1
0,1,1
1,1,1
1,1,1
1,1,0
1,1,1
1,1,0
1,1,0
1,1,1
1,1,0
1,1,1
1,1,1
1,1,1
1,1,0
1,0,1
0,0,0
1,1,1
1,1,1
0,0,1
1,1,1
0,0,1
0,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
0,0,0
1,0,0
1,0,1
1,1,0
1,1,0
1,1,1
1,1,1
0,0,1
0,0,0
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
1,1,0
1,1,1
1,1,0
1,1,0
0,0,1
1,1,1
0,0,0
1,0,0
1,0,1
0,0,0
0,0,0
0,0,1
1,1,0
1,1,1
1,1,1
1,1,0
0,1,0
0,1,0
1,1,0
1,1,0
1,1,0
0,0,1
0,0,1
0,1,1
1,0,1
0,1,1
1,1,1
1,1,1
0,0,0
0,1,0
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,0
1,1,1
1,1,1
1,1,0
1,1,1
0,1,0
1,1,1
1,0,1
1,0,1
1,1,1
0,1,1
1,0,0
1,0,0
1,1,1
1,1,0
0,1,1
1,1,0
1,1,1
1,0,1
1,0,1
0,1,1
0,0,0
0,0,1
1,1,1
1,1,1
1,0,1
1,0,0
1,1,1
1,1,0
0,1,1
0,0,0
0,0,1
0,0,1
0,0,0
1,1,1
1,0,1
1,0,0
1,0,0
1,0,1
1,0,0
1,1,1
1,1,0
1,1,1
1,1,1
0,0,0
0,0,0
1,1,1
1,1,0
1,1,1
1,1,1
0,1,1
0,1,0
0,1,1
1,1,1
0,0,1
1,0,1
0,0,0
0,0,1
0,0,1
1,1,0
1,1,0
1,0,0
0,0,1
0,0,0
1,1,0
0,1,1
1,1,0
0,1,0
0,1,0
0,0,1
1,0,1
1,0,1
0,0,1
1,1,1
1,1,1
0,0,0
1,0,0
1,0,1
1,0,1
0,0,0
0,0,0
0,0,0
0,0,1
1,1,0
1,1,0
1,1,1
0,0,0
1,0,1
1,0,0
1,1,1
1,1,0
0,0,0
0,0,1
1,1,0
1,1,1
0,0,1
1,1,1
1,1,0
1,1,0
1,1,1
0,0,1
0,0,0
0,0,1
1,1,1
1,1,1
1,1,0
0,0,0
1,0,0
0,1,1
0,1,0
0,1,0
0,1,0
1,1,0
1,0,1
1,0,1
1,1,1
1,1,1
1,0,1
0,0,0
0,0,1
1,1,1
0,0,0
0,0,1
1,1,0
1,1,1
1,1,0
1,1,0
0,0,1
0,0,1
1,0,0
1,0,1
1,1,1
1,1,0
1,0,1
1,0,0
1,0,0
1,1,1
1,1,1
1,1,0
0,0,1
1,1,0
0,1,0
0,0,1
0,0,0
1,1,0
1,0,1
0,0,0
0,0,1
0,1,1
1,1,0
1,1,1
1,1,1
1,1,1
1,1,0
1,1,1
1,1,1
0,0,1
1,1,0
1,1,1
1,0,1
0,1,1
1,1,1
1,1,0
1,1,1
1,1,1
1,1,1
1,1,1
0,0,0
1,0,1
0,0,1
0,0,0
1,1,0
1,1,0
1,1,0
0,0,1
1,1,1
0,0,0
0,0,1
0,0,1
1,1,0
1,1,1
1,1,1
1,1,1
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,1
1,1,1
1,1,0
1,1,0
1,1,1
1,0,1
1,1,1
1,1,0
1,1,0
1,1,0
0,0,1
1,0,1
1,0,0
1,0,1
1,1,1
1,1,0
0,0,1
1,0,0
0,0,1
0,0,0
0,0,1
1,1,1
0,1,1
1,1,0
1,1,0
1,1,0
1,1,1
1,1,1
1,1,1
1,1,0
1,1,0
0,0,0
0,0,0
0,0,1
1,1,0
1,1,0
1,1,0
1,1,1
0,0,1
0,0,1
0,0,1
1,0,0
1,0,1
1,0,0
1,0,1
0,1,0
0,0,0
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,1
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
0,0,1
0,0,0
0,0,0
1,1,0
1,1,0
1,1,1
1,1,0
0,1,1
0,0,0
1,1,0
1,1,1
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,0
0,0,0
0,1,0
0,0,0
1,1,1
1,1,0
1,1,0
1,1,0
1,0,1
1,1,0
0,0,1
0,0,1
0,0,0
0,0,1
0,0,0
0,0,1
0,1,0
0,1,0
1,1,0
0,0,0
0,0,0
0,1,0
0,1,0
1,1,0
1,1,0
1,1,0
1,1,1
0,1,0
0,0,1
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
1,1,0
0,0,0
0,1,1
1,0,1
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,1,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,1
1,1,1
0,0,0
0,0,0
0,0,0
0,0,1
1,1,0
1,1,0
0,0,0
0,0,0
0,1,0
1,1,0
0,0,1
0,0,0
0,0,0
0,0,1
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,1
0,0,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,1
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,1
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
1,1,0
1,1,0
0,1,0
0,0,1
0,0,1
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
0,1,0
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,1
1,1,0
1,1,0
1,1,0
0,1,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,1,0
0,1,0
0,1,1
1,1,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
1,1,1
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,1
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,1
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,1
1,1,0
0,0,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,1
1,1,1
0,0,1
0,0,0
1,0,0
1,0,1
0,0,0
0,0,0
1,1,1
1,1,0
1,1,0
1,1,0
1,1,1
0,0,1
0,0,0
0,0,1
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1,1,0
1,1,0
0,0,1
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,1
0,0,0
1,1,0
1,1,0
1,1,1
1,1,1
0,0,0
0,0,1
0,0,1
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,1
0,0,0
0,0,0
0,1,0
0,0,0
1,1,0
0,0,0
0,1,1
0,0,0
1,1,0
0,1,0
0,1,1
1,0,0
0,0,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
1,1,1
0,0,0
0,0,1
1,1,0
1,1,0
0,0,0
0,0,0
1,1,1
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,1
1,1,0
0,0,0
0,1,0
0,1,1
0,1,0
1,1,0
0,0,1
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,1
1,1,0
1,1,0
0,0,0
0,0,0
1,1,1
0,0,0
1,1,0
0,1,0
0,0,0
0,0,0
1,1,0
1,1,1
0,1,0
0,1,0
0,0,0
0,0,0
1,1,0
1,1,1
1,1,0
0,0,1
0,0,0
1,1,1
1,1,1
0,0,0
0,0,0
0,1,0
0,1,0
0,0,1
0,1,1
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,1
0,0,0
0,1,0
0,1,1
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
1,1,0
0,0,1
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,1
1,0,0
0,0,0
0,0,1
1,1,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,1
1,1,0
1,1,0
1,1,1
1,1,0
1,1,1
1,1,0
0,0,1
1,1,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,1,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,1,0
0,1,1
0,1,1
0,0,0
0,0,0
1,1,0
0,0,1
0,0,0
0,0,0
1,1,1
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,1,1
0,0,0
1,1,0
1,1,0
1,1,0
0,0,1
0,0,0
1,1,0
1,1,1
0,0,0
1,1,0
0,0,1
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
0,1,1
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1,1,0
1,1,0
1,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
1,1,0
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
1,1,1
1,1,1
0,0,1
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
1,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,1
0,0,0
0,0,1
0,1,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,1,0
0,1,0
0,0,0
0,0,0
1,1,1
0,1,0
0,0,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,1
1,1,0
1,1,0
0,0,0
0,0,1
1,1,0
1,1,0
0,1,1
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
1,1,1
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,1
0,0,1
0,1,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,1
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1,1,0
1,1,1
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
0,0,1
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
1,0,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,1,0
0,1,0
0,0,0
0,0,1
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,1,0
0,0,0
0,0,0
1,0,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
